# label=ulnar_deviation
# trial=20
# subject=handback_single
# captured_at=20260412_031514
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
101569,-2226,-230,-7636,290,484,-8
101579,-2290,-184,-7712,316,463,8
101590,-2238,-216,-7646,316,427,43
101600,-2288,-178,-7678,314,466,71
101610,-2272,-190,-7700,253,499,99
101620,-2226,-194,-7668,190,504,66
101630,-2274,-178,-7712,192,457,0
101640,-2276,-136,-7664,231,378,-17
101650,-2276,-214,-7662,284,330,-21
101660,-2246,-184,-7642,341,288,-40
101670,-2240,-136,-7596,356,255,-36
101680,-2228,-192,-7660,342,271,-5
101690,-2200,-166,-7710,303,315,-12
101700,-2206,-162,-7684,269,357,-22
101710,-2234,-226,-7686,259,360,-20
101720,-2256,-156,-7738,278,340,-34
101730,-2208,-150,-7710,327,318,-52
101740,-2208,-176,-7658,382,296,-101
101750,-2278,-122,-7694,423,251,-168
101760,-2328,-176,-7682,447,186,-186
101770,-2312,-142,-7630,469,181,-178
101780,-2266,-184,-7646,476,239,-134
101790,-2242,-232,-7628,474,321,-92
101800,-2204,-260,-7626,434,394,-46
101810,-2198,-258,-7632,369,422,-45
101820,-2242,-222,-7740,293,396,-91
101830,-2294,-204,-7664,268,325,-110
101840,-2286,-144,-7654,292,279,-110
101850,-2274,-156,-7684,346,266,-119
101860,-2256,-160,-7650,392,295,-110
101870,-2188,-176,-7700,411,351,-87
101880,-2192,-146,-7702,396,393,-131
101890,-2254,-196,-7738,384,373,-168
101900,-2306,-244,-7642,405,305,-151
101910,-2258,-246,-7590,437,256,-136
101920,-2300,-270,-7584,461,242,-90
101931,-2266,-252,-7552,448,290,-37
101941,-2208,-238,-7578,383,354,7
101951,-2216,-186,-7648,279,411,42
101961,-2148,-210,-7720,187,447,63
101971,-2226,-204,-7792,135,444,-31
101981,-2330,-154,-7774,180,364,-106
101991,-2314,-170,-7730,295,258,-107
102001,-2298,-176,-7690,428,207,-128
102011,-2244,-220,-7564,521,207,-118
102021,-2228,-234,-7562,533,276,-51
102031,-2158,-228,-7566,449,373,1
102041,-2174,-194,-7664,320,437,-1
102051,-2212,-222,-7702,171,434,-16
102061,-2212,-222,-7702,171,434,-16
102071,-2266,-222,-7614,337,274,-92
102081,-2244,-196,-7624,433,193,-70
102091,-2188,-190,-7632,463,151,-67
102102,-2256,-216,-7622,415,177,-62
102112,-2208,-242,-7674,326,246,-48
102122,-2248,-190,-7706,251,338,-83
102132,-2298,-174,-7716,223,396,-87
102142,-2264,-194,-7732,260,418,-74
102152,-2222,-194,-7664,317,413,-55
102162,-2232,-208,-7690,388,361,-36
102172,-2160,-204,-7648,418,293,-2
102182,-2150,-214,-7668,388,248,14
102192,-2232,-204,-7748,325,239,-42
102202,-2318,-166,-7738,288,245,-118
102212,-2262,-182,-7674,313,291,-129
102222,-2246,-182,-7656,374,351,-120
102232,-2230,-206,-7624,432,387,-102
102242,-2216,-232,-7552,455,371,-54
102252,-2194,-222,-7628,411,349,14
102262,-2158,-236,-7516,333,338,80
102272,-2130,-248,-7656,239,371,74
102282,-2236,-224,-7798,172,399,-10
102292,-2306,-198,-7726,187,378,-81
102302,-2296,-164,-7676,283,332,-99
102312,-2326,-208,-7716,402,293,-106
102322,-2348,-210,-7650,502,242,-116
102332,-2478,-180,-7608,546,259,-93
102342,-2462,-186,-7584,533,366,-39
102352,-2478,-192,-7570,479,593,23
102362,-2464,-128,-7582,434,897,72
102372,-2320,-188,-7602,419,1189,139
