# label=extension
# trial=7
# subject=handback_single
# captured_at=20260412_030803
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
33238,-668,-1012,-7904,-581,-245,43
33248,-680,-1034,-7894,-594,-219,39
33258,-628,-1010,-7922,-598,-170,46
33268,-656,-1014,-7896,-583,-129,76
33278,-650,-978,-7860,-549,-146,132
33288,-650,-978,-7860,-549,-146,132
33298,-676,-994,-7892,-567,-206,155
33308,-732,-966,-7892,-650,-288,155
33318,-692,-930,-7934,-724,-257,164
33328,-656,-906,-7936,-805,-207,184
33338,-706,-912,-7922,-892,-161,201
33348,-710,-872,-7930,-947,-133,212
33358,-646,-858,-7926,-964,-135,216
33368,-614,-874,-7976,-959,-169,230
33378,-642,-906,-7896,-946,-218,240
33388,-660,-926,-7886,-926,-267,239
33398,-694,-894,-7936,-915,-298,227
33408,-686,-854,-7962,-909,-300,199
33418,-700,-856,-7894,-931,-287,184
33428,-744,-808,-7922,-1001,-227,188
33438,-702,-776,-7906,-1052,-183,202
33448,-708,-790,-7866,-1100,-151,211
33458,-662,-774,-7942,-1140,-155,211
33468,-684,-734,-7946,-1158,-180,232
33478,-686,-740,-7874,-1114,-222,237
33488,-694,-720,-7938,-1039,-269,217
33498,-734,-742,-7950,-933,-290,197
33508,-690,-680,-7966,-838,-292,182
33518,-720,-718,-7934,-764,-267,166
33528,-704,-688,-7992,-725,-241,146
33538,-682,-666,-7996,-739,-188,129
33548,-678,-690,-7982,-778,-121,123
33558,-620,-692,-7970,-821,-88,127
33568,-610,-668,-8020,-853,-88,126
33579,-594,-660,-7974,-849,-141,116
33589,-584,-604,-8072,-834,-194,113
33599,-614,-606,-7940,-817,-218,86
33609,-608,-606,-8000,-804,-233,59
33619,-656,-578,-7884,-806,-232,44
33629,-694,-554,-7932,-810,-210,16
33639,-670,-568,-7902,-803,-172,-21
33649,-680,-486,-7848,-781,-102,-36
33659,-658,-510,-7882,-756,-49,-30
33669,-630,-484,-7964,-724,-40,-2
33679,-660,-494,-7904,-679,-96,15
33689,-672,-514,-7938,-625,-167,36
33699,-744,-492,-7902,-577,-277,31
33709,-730,-462,-7894,-532,-353,30
33719,-820,-524,-7932,-514,-380,31
33729,-858,-506,-7904,-525,-344,48
33739,-852,-516,-7948,-559,-262,61
33750,-890,-450,-7910,-652,-92,61
33760,-806,-514,-7994,-728,-133,60
33770,-748,-494,-8032,-704,-91,65
33780,-702,-516,-8028,-723,6,102
33790,-652,-494,-8070,-742,-62,145
33800,-644,-532,-8008,-758,-148,184
33810,-630,-512,-8016,-712,-267,201
33820,-632,-498,-7980,-650,-380,190
33830,-688,-468,-7926,-601,-430,154
33840,-658,-432,-7942,-574,-418,114
33850,-642,-414,-7912,-571,-349,87
33860,-668,-418,-7906,-571,-231,63
33870,-654,-336,-7898,-575,-121,30
33880,-612,-392,-7908,-564,-60,-3
33890,-580,-330,-7888,-540,-47,-22
33900,-546,-422,-7958,-524,-71,-17
33910,-602,-404,-7920,-500,-131,-14
33920,-634,-412,-8008,-462,-198,-14
33930,-666,-422,-8048,-429,-229,-24
33940,-708,-400,-8008,-423,-248,-33
33950,-740,-424,-8046,-457,-255,-49
33960,-752,-392,-7986,-513,-223,-53
33970,-798,-410,-8012,-570,-173,-55
33980,-770,-394,-7974,-605,-110,-59
33990,-754,-370,-8020,-615,-79,-48
34000,-700,-400,-7984,-607,-94,-22
34010,-734,-376,-7916,-582,-156,0
34020,-772,-388,-7916,-545,-238,14
34030,-748,-394,-7882,-520,-280,34
34040,-756,-326,-7844,-518,-284,47
34050,-794,-372,-7858,-520,-265,41
34060,-708,-322,-7868,-521,-202,26
34070,-712,-322,-7896,-509,-119,0
34080,-692,-294,-7850,-454,-77,-24
34091,-676,-302,-7872,-369,-77,-48
34101,-668,-292,-7916,-279,-96,-66
34111,-696,-318,-7926,-205,-136,-81
34121,-692,-292,-7934,-170,-154,-60
34131,-694,-394,-7980,-195,-166,-26
34141,-674,-400,-7984,-258,-196,6
34151,-744,-440,-8020,-321,-228,15
34161,-702,-408,-8008,-421,-183,-3
34171,-642,-422,-8002,-447,-129,-15
34181,-660,-382,-7996,-462,-87,-8
34191,-626,-362,-8012,-479,-95,8
34201,-622,-294,-7952,-487,-170,9
34211,-664,-316,-7924,-482,-274,5
34221,-660,-304,-7916,-468,-343,-19
34231,-662,-302,-7896,-464,-357,-46
34241,-688,-312,-7918,-453,-305,-59
34251,-722,-350,-7900,-467,-212,-75
34262,-644,-278,-7934,-476,-102,-85
34272,-666,-288,-7908,-481,-22,-99
34282,-634,-318,-7980,-459,20,-111
34292,-630,-310,-7934,-415,2,-124
34302,-660,-316,-7984,-361,-68,-131
34312,-686,-326,-7942,-310,-178,-131
34322,-724,-338,-7952,-266,-288,-125
34332,-740,-350,-7920,-236,-345,-126
34342,-816,-358,-7984,-213,-317,-133
34352,-764,-374,-7976,-208,-233,-139
34362,-764,-378,-7944,-214,-121,-157
34372,-716,-390,-7958,-208,-41,-169
34382,-702,-354,-7896,-202,-15,-180
34392,-668,-358,-7910,-189,-24,-186
34402,-638,-342,-7912,-179,-74,-184
34412,-662,-342,-7900,-134,-137,-175
34422,-716,-364,-7884,-86,-204,-154
34432,-668,-346,-7922,-22,-258,-139
34442,-718,-384,-7902,42,-292,-138
34452,-668,-420,-7932,97,-309,-159
34462,-694,-430,-7904,128,-283,-220
34472,-712,-426,-7970,144,-227,-281
34482,-658,-422,-7996,165,-126,-319
34492,-672,-468,-7948,161,-27,-321
34502,-644,-466,-7972,132,30,-302
34512,-632,-460,-7948,72,41,-273
34522,-606,-474,-7934,39,19,-233
34532,-590,-492,-8026,14,-68,-187
34542,-626,-492,-8030,-4,-181,-157
34552,-618,-542,-8018,-37,-256,-138
34562,-694,-552,-8044,-9,-324,-154
34572,-702,-570,-8040,11,-307,-184
34582,-688,-598,-8072,16,-266,-210
34592,-702,-566,-7974,-6,-211,-226
34603,-640,-562,-7962,-108,-26,-232
34613,-608,-540,-7952,-164,20,-211
34623,-618,-534,-7948,-192,0,-184
34633,-636,-558,-7994,-199,-87,-163
34643,-672,-542,-8020,-183,-182,-153
34653,-658,-546,-7966,-162,-254,-155
34663,-732,-562,-7924,-152,-274,-164
34673,-696,-578,-7978,-174,-232,-151
34683,-708,-574,-7940,-217,-143,-142
34693,-662,-574,-7952,-250,-94,-111
34703,-690,-582,-7972,-271,-79,-91
34713,-656,-608,-7980,-290,-122,-68
34723,-642,-608,-8014,-313,-185,-56
34733,-682,-612,-7974,-334,-246,-48
34743,-670,-608,-7942,-347,-268,-58
34753,-678,-604,-7980,-358,-235,-68
34763,-640,-598,-7950,-351,-196,-63
34774,-624,-610,-7944,-322,-174,-42
34784,-642,-596,-7912,-277,-198,-33
34794,-686,-576,-7904,-229,-262,-24
34804,-658,-582,-7926,-207,-324,-34
34814,-678,-562,-7946,-200,-356,-41
