# label=extension
# trial=5
# subject=handback_single
# captured_at=20260412_030752
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
21308,-592,-1230,-7890,-146,-464,-39
21318,-636,-1284,-7924,-67,-532,-43
21328,-770,-1292,-7906,-50,-497,-60
21338,-772,-1316,-7912,-120,-375,-94
21348,-720,-1282,-7874,-239,-190,-128
21358,-640,-1236,-7940,-383,-26,-141
21368,-648,-1238,-7864,-515,81,-133
21378,-584,-1248,-7884,-583,104,-112
21388,-556,-1198,-7912,-578,14,-80
21398,-550,-1214,-7820,-511,-140,-41
21408,-626,-1234,-7796,-423,-314,6
21419,-618,-1238,-7844,-324,-457,43
21429,-626,-1208,-7904,-238,-521,59
21439,-602,-1218,-7878,-181,-507,53
21449,-720,-1248,-7844,-165,-438,18
21459,-704,-1234,-7780,-183,-368,-53
21469,-666,-1238,-7874,-219,-263,-125
21479,-652,-1228,-7796,-241,-184,-177
21489,-632,-1236,-7862,-266,-126,-199
21499,-566,-1268,-7846,-294,-101,-183
21509,-566,-1238,-7822,-295,-128,-170
21519,-574,-1258,-7816,-289,-198,-152
21529,-596,-1244,-7840,-274,-251,-137
21539,-594,-1256,-7882,-253,-291,-135
21549,-654,-1274,-7854,-240,-283,-139
21559,-648,-1292,-7834,-230,-235,-140
21569,-640,-1330,-7868,-233,-132,-167
21579,-618,-1304,-7902,-255,-99,-173
21590,-600,-1304,-7856,-250,-95,-161
21600,-598,-1306,-7880,-228,-141,-138
21610,-670,-1290,-7856,-198,-230,-99
21620,-634,-1336,-7930,-178,-341,-56
21630,-704,-1314,-7830,-175,-430,1
21640,-736,-1330,-7896,-214,-469,24
21650,-832,-1346,-7848,-274,-450,14
21660,-808,-1336,-7836,-347,-345,-20
21670,-780,-1302,-7856,-424,-180,-62
21680,-730,-1282,-7774,-485,-2,-104
21690,-644,-1300,-7822,-524,132,-101
21700,-594,-1246,-7810,-515,166,-64
21710,-566,-1208,-7820,-449,56,-11
21720,-614,-1318,-7778,-373,-160,42
21730,-618,-1314,-7824,-276,-372,76
21740,-672,-1298,-7824,-200,-553,90
21750,-744,-1296,-7834,-186,-581,79
21760,-752,-1304,-7844,-223,-466,41
21770,-708,-1286,-7864,-280,-271,3
21780,-700,-1266,-7804,-332,-62,-20
21790,-666,-1260,-7816,-355,59,-19
21800,-582,-1250,-7810,-341,46,-15
21810,-596,-1288,-7850,-296,-78,-12
21820,-618,-1294,-7864,-232,-244,0
21830,-650,-1290,-7890,-171,-385,-1
21840,-716,-1348,-7834,-154,-434,4
21850,-764,-1410,-7866,-176,-394,-1
21860,-708,-1346,-7902,-211,-274,-7
21870,-716,-1338,-7890,-257,-139,-17
21880,-732,-1288,-7852,-300,-95,-22
21890,-654,-1294,-7862,-348,-40,-22
21900,-652,-1314,-7868,-355,-64,-28
21910,-612,-1308,-7858,-360,-112,-37
21920,-628,-1294,-7898,-354,-146,-27
21931,-606,-1308,-7838,-326,-203,3
21941,-620,-1328,-7830,-298,-249,44
21951,-626,-1380,-7786,-258,-279,82
21961,-614,-1398,-7820,-204,-351,104
21971,-654,-1370,-7864,-199,-352,79
21981,-654,-1370,-7864,-199,-352,79
21991,-678,-1324,-7890,-237,-238,5
22001,-592,-1344,-7858,-287,-156,-17
22011,-622,-1346,-7894,-343,-83,-29
22021,-578,-1340,-7886,-388,19,-37
22031,-548,-1338,-7878,-359,29,-63
22041,-574,-1350,-7952,-293,-137,-72
22051,-562,-1326,-7844,-327,-260,-40
22061,-664,-1354,-7858,-285,-375,-21
22071,-654,-1370,-7880,-225,-376,-37
22081,-644,-1374,-7898,-197,-339,-58
22091,-672,-1376,-7838,-238,-277,-81
22102,-666,-1394,-7876,-289,-202,-103
22112,-660,-1382,-7930,-333,-133,-129
22122,-624,-1390,-7902,-339,-54,-154
22132,-596,-1330,-7900,-329,-29,-161
22142,-592,-1332,-7926,-300,-92,-147
22152,-634,-1300,-7794,-263,-203,-117
22162,-682,-1306,-7804,-252,-335,-76
22172,-740,-1314,-7756,-241,-468,-53
22182,-850,-1342,-7716,-245,-547,-63
22192,-870,-1362,-7684,-275,-503,-98
22202,-842,-1324,-7720,-295,-354,-136
22212,-836,-1338,-7714,-297,-137,-160
22222,-750,-1338,-7690,-289,53,-157
22232,-702,-1354,-7748,-253,143,-131
22242,-672,-1318,-7742,-180,97,-96
22252,-684,-1356,-7758,-66,-60,-74
22262,-680,-1370,-7792,50,-256,-54
22272,-728,-1390,-7848,105,-417,-47
22282,-752,-1456,-7828,108,-486,-35
22292,-776,-1428,-7844,68,-453,-20
22302,-762,-1472,-7860,-6,-350,-15
22312,-750,-1522,-7904,-97,-225,-5
22322,-690,-1474,-7878,-171,-125,0
22332,-694,-1516,-7930,-222,-86,-9
22342,-626,-1490,-7958,-259,-89,-18
22352,-626,-1466,-7920,-276,-119,-21
22362,-652,-1530,-7910,-282,-165,-17
22372,-608,-1522,-7896,-279,-189,-10
22382,-618,-1488,-7894,-278,-225,-2
22392,-612,-1502,-7908,-271,-243,11
22402,-624,-1480,-7888,-294,-283,26
22412,-680,-1524,-7860,-329,-314,35
22422,-678,-1464,-7826,-347,-318,25
22432,-674,-1468,-7780,-362,-271,0
22443,-718,-1468,-7756,-371,-257,-21
22453,-684,-1464,-7788,-367,-228,-57
22463,-702,-1458,-7786,-361,-187,-104
22473,-636,-1404,-7808,-352,-127,-132
