# label=supination
# trial=16
# subject=handback_single
# captured_at=20260412_032318
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
80409,-1490,486,-7742,4144,983,11406
80419,-1272,450,-7706,3706,279,11130
80429,-1004,548,-7812,3077,-1193,10358
80439,-1180,428,-7912,2628,-2840,9286
80449,-1644,538,-7870,2290,-4069,8069
80459,-1798,424,-8058,1713,-5165,6803
80470,-2308,618,-8100,1409,-6486,5634
80480,-2022,536,-8062,1154,-5523,4869
80490,-1878,620,-8242,628,-3934,4242
80500,-1886,668,-8254,105,-2699,3707
80510,-1474,734,-8248,-336,-1434,3371
80520,-1396,906,-8058,-775,-432,3149
80530,-1072,852,-8188,-732,435,2947
80540,-838,952,-8188,-656,755,2794
80550,-636,978,-7950,-126,168,2573
80560,-810,842,-7818,200,-1150,2349
80570,-890,928,-7736,323,-1645,2155
80580,-1060,814,-7664,465,-1870,1925
80590,-1550,802,-7452,589,-2141,1775
80600,-1450,920,-7508,546,-2346,1744
80610,-1472,972,-7464,367,-2327,1765
80620,-1424,966,-7582,477,-2397,1696
80630,-1540,998,-7594,424,-2534,1618
80640,-1518,974,-7608,366,-2418,1615
80650,-1404,1092,-7620,285,-2156,1670
80660,-1362,1048,-7606,274,-1872,1721
80670,-1334,1114,-7646,246,-1728,1761
80680,-1272,1144,-7756,180,-1819,1785
80690,-1280,1126,-7786,145,-2173,1835
80700,-1310,1120,-7768,216,-2689,1866
80710,-1400,1172,-7772,303,-3184,1861
80720,-1466,1118,-7796,315,-3465,1862
80730,-1606,1130,-7792,346,-3598,1826
80740,-1646,1088,-7768,346,-3692,1725
80750,-1688,1094,-7720,327,-3704,1643
80760,-1714,1050,-7786,372,-3443,1629
80770,-1650,1046,-7722,400,-3019,1718
80780,-1594,1010,-7668,297,-2636,1886
80790,-1380,1046,-7796,42,-2458,2140
80800,-1372,1038,-7810,-2,-2689,2137
80811,-1430,1084,-7842,40,-3014,2077
80821,-1456,1098,-7838,127,-3301,2019
80831,-1378,1126,-7864,271,-3397,1950
80841,-1392,1138,-7884,435,-3339,1822
80851,-1386,1098,-7886,587,-3282,1606
80861,-1378,1108,-7902,738,-3173,1436
80871,-1350,1092,-7840,855,-2950,1331
80881,-1398,994,-7820,873,-2775,1338
80891,-1304,1024,-7774,784,-2668,1533
80901,-1162,1072,-7718,580,-2554,1791
80911,-1064,1132,-7810,387,-2514,1957
80921,-1136,1116,-7784,252,-2766,1965
80931,-1222,1160,-7836,186,-3216,1856
80941,-1340,1200,-7748,218,-3637,1761
80951,-1406,1236,-7730,347,-3915,1679
80961,-1486,1280,-7662,552,-3959,1592
80971,-1440,1274,-7636,828,-3675,1470
80982,-1460,1198,-7554,1082,-3261,1377
80992,-1452,1126,-7606,1229,-2869,1378
81002,-1420,1068,-7614,1260,-2624,1474
81012,-1362,1062,-7686,1174,-2609,1587
81022,-1378,1074,-7682,1014,-2843,1663
81032,-1404,1050,-7732,854,-3143,1687
81042,-1468,1060,-7750,705,-3346,1737
81052,-1452,1104,-7796,604,-3448,1807
81062,-1538,1088,-7854,558,-3443,1804
81072,-1606,1072,-7922,629,-3396,1710
81082,-1680,1038,-7916,743,-3302,1548
81092,-1658,1038,-7862,829,-3147,1412
81102,-1576,1020,-7902,866,-2962,1343
81112,-1598,1018,-7836,898,-2864,1301
81122,-1492,976,-7838,835,-2762,1361
81132,-1406,982,-7862,669,-2657,1578
81142,-1356,1020,-7848,477,-2698,1803
81152,-1420,982,-7912,341,-2973,1938
81162,-1430,996,-7924,303,-3305,2000
81172,-1600,990,-7886,313,-3582,1979
81182,-1622,1002,-7956,373,-3792,1953
81192,-1576,1058,-7858,485,-3637,1795
81202,-1576,1058,-7858,485,-3637,1795
81212,-1508,1126,-7844,419,-2994,1614
81222,-1436,1132,-7810,400,-2729,1593
81232,-1416,1130,-7762,428,-2686,1624
81242,-1378,1130,-7698,475,-2791,1690
81252,-1410,1098,-7700,527,-3000,1764
81262,-1374,1090,-7700,566,-3187,1830
81272,-1490,1052,-7738,557,-3319,1837
81282,-1496,1090,-7768,541,-3370,1818
81292,-1526,1106,-7796,561,-3321,1775
81302,-1544,1114,-7802,618,-3182,1698
81312,-1546,1098,-7774,675,-3018,1601
81323,-1446,1140,-7742,741,-2882,1506
81333,-1424,1120,-7732,806,-2817,1439
81343,-1462,1126,-7744,842,-2842,1420
81353,-1458,1102,-7768,849,-2923,1465
81363,-1452,1042,-7754,825,-2992,1564
81373,-1470,1064,-7758,783,-3073,1691
81383,-1476,1030,-7706,711,-3116,1783
81393,-1538,1058,-7744,617,-3131,1857
81403,-1516,1064,-7796,514,-3131,1900
81413,-1486,1100,-7850,447,-3102,1926
81423,-1524,1110,-7784,426,-3080,1893
81433,-1514,1144,-7794,441,-3082,1823
81443,-1486,1104,-7740,485,-3086,1754
