# label=flexion
# trial=16
# subject=handback_single
# captured_at=20260412_030652
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
80768,410,846,-7912,1194,-126,99
80778,368,822,-7946,1250,-189,118
80788,396,804,-7942,1290,-255,134
80798,338,782,-7990,1287,-316,125
80808,354,770,-7976,1260,-355,122
80818,386,806,-7960,1195,-336,110
80828,380,824,-7918,1119,-267,116
80838,388,824,-7998,1080,-206,112
80848,388,866,-8046,1096,-182,114
80858,362,820,-7964,1151,-185,109
80868,370,800,-8048,1222,-238,121
80878,370,772,-8056,1274,-284,126
80888,348,776,-8130,1285,-310,138
80898,360,732,-8040,1267,-343,148
80908,368,736,-8022,1220,-409,161
80918,162,710,-8048,1033,-541,177
80928,186,726,-8018,937,-459,147
80939,224,756,-8034,871,-242,108
80949,290,770,-8030,807,14,100
80959,404,774,-7998,756,178,131
80969,488,760,-8040,744,175,160
80979,454,780,-7920,762,-10,175
80989,388,832,-7958,778,-293,185
80999,330,790,-7930,773,-541,189
81009,284,760,-7984,755,-643,195
81019,244,784,-7980,730,-588,195
81029,198,746,-7922,688,-423,178
81039,246,806,-7904,651,-205,157
81049,262,822,-7952,629,-26,136
81059,332,896,-7870,633,81,111
81069,460,910,-7888,651,133,110
81079,502,942,-7870,720,57,98
81089,444,946,-7886,838,-124,103
81099,390,846,-7864,961,-297,101
81110,380,808,-7900,1088,-413,96
81120,288,822,-7928,1177,-442,82
81130,244,744,-7978,1186,-381,89
81140,242,730,-7936,1131,-266,99
81150,298,756,-7976,1043,-145,106
81160,342,752,-7988,939,-42,99
81170,404,782,-8020,880,-5,90
81180,364,838,-7994,877,-41,88
81190,404,848,-8064,910,-138,80
81200,376,856,-8056,924,-259,73
81210,318,820,-8020,911,-380,82
81220,256,764,-7988,897,-440,122
81230,270,786,-8074,929,-396,156
81240,262,792,-7972,939,-288,181
81250,344,788,-7988,882,-161,179
81260,350,806,-7982,825,-141,182
81270,384,794,-8002,774,-172,166
81280,370,814,-8052,759,-217,122
81290,348,806,-8056,764,-258,85
81300,356,828,-8030,734,-258,67
81310,356,856,-7994,762,-187,108
81320,364,858,-8022,799,-190,119
81330,364,858,-8022,799,-190,119
81340,332,806,-8036,830,-261,124
81350,300,856,-7940,813,-311,139
81360,274,820,-7942,815,-299,145
81370,282,828,-7938,813,-248,140
81380,316,798,-7956,819,-181,139
81390,390,814,-7920,827,-135,142
81400,380,832,-7896,869,-149,146
81410,382,906,-7994,929,-202,134
81420,380,876,-7950,967,-254,103
81430,376,864,-7996,996,-293,97
81440,360,870,-7946,997,-289,92
81451,298,870,-7950,953,-250,88
81461,292,838,-7926,904,-200,72
81471,304,882,-7930,871,-125,67
81481,306,866,-7976,874,-77,64
81491,304,882,-7916,913,-77,65
81501,310,868,-7942,950,-120,76
81511,274,886,-7998,985,-195,100
81521,266,848,-7966,1014,-264,115
81531,272,860,-7942,1017,-284,120
81541,310,856,-8014,995,-286,140
81551,278,864,-7946,970,-280,164
81561,238,816,-7940,920,-261,171
81571,288,882,-7972,868,-239,170
81581,348,908,-7966,827,-196,178
81591,368,886,-7928,820,-141,186
81601,376,916,-8032,863,-99,185
81611,378,902,-8044,926,-117,164
81622,348,888,-8006,975,-178,154
81632,366,814,-8034,970,-252,159
81642,374,814,-8106,928,-287,168
81652,328,818,-8112,855,-287,167
81662,322,810,-7988,768,-259,157
81672,300,832,-8086,700,-236,159
81682,328,856,-7960,641,-215,175
81692,322,890,-8016,614,-222,187
81702,322,948,-7950,565,-223,200
81712,446,956,-7976,555,-186,190
81722,360,920,-7922,587,-184,157
81732,304,872,-7862,586,-235,144
81742,342,878,-7936,506,-226,133
81752,342,878,-7936,506,-226,133
81762,298,948,-7992,250,-55,117
81772,336,1020,-7964,138,98,102
81782,390,1036,-7990,108,224,82
81792,462,1038,-7978,180,265,64
81802,452,1092,-7948,299,218,60
81812,468,1084,-7932,429,101,63
81822,460,1126,-7912,581,-49,72
81832,406,1094,-7850,708,-171,87
81842,386,1070,-7816,805,-231,65
