# label=supination
# trial=7
# subject=handback_single
# captured_at=20260412_032230
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
33380,-2704,-3036,-8202,-3540,-3328,1031
33390,-1414,-2458,-7734,-3396,-1875,926
33400,-1870,-2482,-7704,-2055,-766,1038
33410,-1974,-2258,-7690,-450,-1122,1572
33420,-1808,-2316,-7706,718,-2187,1693
33430,-1680,-2642,-7720,1484,-3429,1412
33440,-1462,-2538,-7474,1960,-4186,1078
33451,-1464,-2404,-7288,2300,-4218,883
33461,-1646,-2342,-7252,2606,-3868,881
33471,-1830,-2168,-7028,2543,-3865,1048
33481,-1884,-1908,-7080,2267,-4143,1222
33491,-2006,-1864,-7112,1864,-4419,1236
33501,-2024,-1972,-7066,1187,-4608,1115
33511,-2114,-1922,-7052,556,-4507,1010
33521,-2274,-1992,-7086,79,-4229,1059
33531,-2414,-1964,-7094,-265,-3989,1314
33541,-2526,-2012,-7208,-577,-3814,1650
33551,-2662,-2062,-7146,-833,-3712,1935
33561,-2658,-2090,-7236,-1020,-3597,2147
33571,-2634,-1968,-7178,-1289,-3403,2286
33581,-2708,-2102,-7380,-1545,-3131,2284
33591,-2820,-2188,-7436,-1638,-2896,2198
33601,-3044,-2194,-7542,-1559,-2791,2019
33611,-3106,-2376,-7554,-1199,-2714,1836
33622,-3054,-2466,-7560,-567,-2604,1730
33632,-2860,-2256,-7426,69,-2423,1701
33642,-2736,-2172,-7386,508,-2121,1691
33652,-2682,-2058,-7268,753,-1762,1594
33662,-2536,-1744,-7208,585,-1350,1520
33672,-2536,-1744,-7208,585,-1350,1520
33682,-2246,-1780,-7144,-103,-1117,1548
33692,-2092,-1702,-7234,-435,-1061,1646
33702,-2086,-1772,-7306,-703,-967,1748
33712,-1964,-1848,-7486,-862,-949,1874
33722,-1888,-1924,-7538,-885,-906,1927
33732,-1488,-1912,-7726,-770,-811,1835
33742,-1648,-1820,-7674,-565,-570,1627
33752,-1576,-1762,-7714,-544,-584,1390
33762,-1382,-1696,-7684,-366,-768,1255
33772,-1548,-1648,-7584,-317,-1227,1266
33782,-1484,-1604,-7610,-202,-1475,1426
33792,-1426,-1690,-7790,-89,-1711,1567
33802,-1236,-1516,-7694,-57,-1743,1799
33812,-1152,-1454,-7826,-196,-1460,1769
33822,-1064,-1708,-7814,-179,-1249,1719
33832,-954,-1586,-7770,-42,-1212,1760
33842,-936,-1642,-7736,49,-1393,1776
33852,-832,-1534,-7718,89,-1841,1786
33862,-934,-1526,-7744,112,-2369,1810
33872,-994,-1498,-7704,23,-2568,1891
33882,-1056,-1484,-7776,2,-2610,1969
33892,-1038,-1458,-7740,55,-2731,2037
33902,-926,-1446,-7806,100,-2768,2056
33912,-898,-1402,-7788,48,-2780,1994
33922,-966,-1494,-7766,14,-2924,1911
33932,-1066,-1494,-7800,32,-3151,1900
33942,-1082,-1496,-7784,36,-3380,1921
33952,-1128,-1290,-7744,-8,-3653,1928
33963,-1202,-1274,-7674,-93,-3915,1934
33973,-1302,-1286,-7780,-116,-4070,2032
33983,-1222,-1146,-7812,-157,-4014,2164
33993,-1224,-1286,-7938,-242,-3817,2151
34003,-1318,-1420,-7876,-237,-3734,2077
34013,-1414,-1480,-7864,-62,-3790,1978
34023,-1518,-1452,-7828,126,-3992,1885
34033,-1666,-1524,-7782,259,-4215,1835
34043,-1784,-1582,-7706,480,-4373,1844
34053,-1846,-1528,-7716,652,-4360,1868
34063,-1854,-1502,-7606,740,-4211,1885
34073,-1900,-1430,-7580,815,-4020,1903
34083,-1958,-1392,-7502,841,-3841,1890
34093,-1982,-1356,-7422,796,-3706,1871
34103,-1982,-1220,-7496,672,-3589,1851
34113,-2060,-1280,-7508,445,-3441,1895
34123,-2020,-1278,-7494,282,-3249,2040
34134,-1936,-1268,-7700,83,-2771,2145
34144,-1846,-1290,-7758,119,-2660,2057
34154,-1844,-1192,-7800,271,-2693,2010
34164,-1730,-1156,-7892,364,-2778,1943
34174,-1762,-1336,-7780,330,-2864,1809
34184,-1730,-1264,-7780,347,-2924,1729
34194,-1736,-1342,-7770,340,-2889,1692
34204,-1788,-1272,-7788,373,-2794,1663
34214,-1868,-1440,-7746,386,-2656,1640
34224,-1758,-1484,-7714,467,-2463,1642
34234,-1642,-1482,-7752,608,-2283,1688
34244,-1398,-1494,-7914,792,-2105,1783
34254,-1614,-1614,-7874,1003,-1901,1793
34264,-1684,-1692,-7982,1309,-1791,1615
34274,-1700,-1766,-8006,1846,-1757,1603
34284,-1234,-1722,-7980,2557,-1576,1906
34294,-918,-1640,-7838,3347,-1288,2301
34304,-838,-1588,-7602,3957,-1273,2591
34314,-1050,-1414,-7416,4300,-1491,2795
34324,-1514,-1552,-7282,4381,-1960,3015
34334,-2064,-1502,-7192,4164,-2377,3490
34344,-2022,-1444,-7206,3590,-2318,4203
34354,-1468,-1354,-7460,2546,-1793,4745
34364,-1254,-1386,-7670,1107,-1058,4983
34374,-1176,-1358,-7702,-83,-555,5233
34384,-870,-1230,-8218,-954,-261,5196
34394,-886,-1744,-8376,-1606,-354,4939
34404,-988,-1810,-8434,-2183,-1112,4733
34414,-1168,-1556,-8394,-2595,-2418,4465
34424,-1444,-1496,-8456,-2480,-3472,3915
34434,-1554,-1538,-8468,-2369,-3862,3357
34444,-1640,-1694,-8436,-2435,-3447,2958
34454,-1690,-1676,-8392,-2554,-2415,2648
34464,-1478,-1608,-8180,-2689,-1143,2484
34475,-1086,-1494,-8160,-2696,-503,2364
34485,-750,-1376,-8022,-2822,208,2368
34495,-322,-1124,-7952,-3028,769,2515
34505,-126,-962,-7892,-3010,564,2565
34515,22,-674,-7988,-2906,-425,2515
34525,-30,-678,-7956,-2869,-2006,2397
34535,-356,-452,-7706,-2461,-3743,2247
34545,-514,-330,-7618,-1827,-4991,2055
34555,-1018,-176,-7306,-455,-5738,1722
34565,-1018,-176,-7306,-455,-5738,1722
34575,-1080,-356,-7210,397,-5268,1561
34585,-1034,-272,-7320,645,-4487,1526
34595,-1126,-212,-7316,761,-3559,1498
34605,-1032,-286,-7288,782,-2997,1560
34615,-918,-138,-7322,786,-2676,1615
34625,-952,-234,-7346,857,-2622,1635
34635,-972,-60,-7388,855,-2854,1696
34646,-1002,-212,-7530,847,-3268,1670
34656,-1146,-366,-7544,915,-3588,1620
34666,-1248,-460,-7696,1091,-3713,1576
34676,-1188,-488,-7868,1248,-3537,1485
34686,-1186,-560,-7844,1293,-3207,1369
34696,-1128,-612,-7842,1347,-2736,1283
34706,-1086,-644,-7926,1357,-2290,1299
34716,-882,-552,-7990,1305,-2131,1378
34726,-884,-734,-7918,1248,-2117,1371
34736,-846,-698,-8002,1277,-2347,1397
34746,-922,-770,-8016,1329,-2759,1421
34756,-982,-768,-8026,1339,-3205,1428
34766,-1130,-728,-8052,1228,-3518,1411
34776,-1168,-792,-7936,1070,-3594,1394
34786,-1166,-758,-7948,960,-3459,1322
34796,-1202,-762,-7854,920,-3198,1241
34806,-1214,-810,-7844,1005,-2883,1212
34816,-1180,-848,-7836,1127,-2579,1274
34826,-1100,-826,-7858,1268,-2426,1357
34836,-1048,-726,-7902,1347,-2456,1479
34846,-998,-838,-7956,1341,-2617,1605
34856,-1042,-716,-7982,1307,-2897,1739
34866,-1026,-856,-7940,1181,-3122,1804
34876,-1056,-842,-8012,1054,-3278,1816
34886,-1108,-902,-7952,982,-3349,1816
34896,-1196,-910,-7984,921,-3281,1827
34906,-1160,-896,-7920,834,-3147,1857
34916,-1134,-886,-7844,792,-2962,1864
34926,-1080,-808,-7846,749,-2742,1884
34936,-1144,-732,-7836,651,-2647,1893
34946,-1178,-764,-7830,550,-2665,1871
34956,-1218,-770,-7712,494,-2736,1808
34966,-1210,-746,-7696,477,-2770,1790
34976,-1268,-756,-7684,414,-2739,1793
34987,-1356,-760,-7618,332,-2669,1783
34997,-1300,-700,-7696,-117,-2233,2025
35007,-1412,-768,-7748,-497,-1834,2264
35017,-1658,-822,-7862,-929,-1375,2598
35027,-1490,-738,-7910,-1453,-1037,3164
35037,-1226,-778,-8034,-2204,-745,3732
35047,-1176,-716,-8192,-3015,-148,4202
35057,-1148,-740,-8450,-3714,189,4591
35067,-1174,-812,-8654,-4272,511,5006
35077,-1590,-870,-8790,-4803,823,5491
35087,-1864,-1006,-8806,-5560,1366,6116
35097,-2142,-912,-8724,-6667,2323,6949
35107,-2054,-890,-8638,-8367,3705,8025
35117,-1468,-844,-8450,-10759,5444,9429
35127,-634,-738,-8320,-13561,7445,11129
35137,652,-178,-8564,-16438,8990,12689
35147,1372,540,-9046,-18927,9592,13625
35158,1360,1814,-8866,-20341,9085,13693
35168,1884,2412,-9222,-20391,7759,13003
35178,1126,3140,-9020,-19302,5452,11948
35188,1236,3308,-8672,-17520,2658,10861
35198,1522,3180,-8064,-15799,51,10072
35208,1632,2874,-7742,-14784,-1154,9869
35218,2002,2954,-7146,-14677,-494,10276
35228,2348,3106,-6746,-15373,1087,10699
35238,3036,3242,-6194,-16333,2967,10720
35248,3600,3754,-5836,-17335,4209,10337
35258,4300,4196,-5776,-17556,4138,9411
35268,4238,4476,-5098,-17280,2665,8275
35278,4530,4882,-5064,-17117,2151,7275
35288,4662,4826,-5454,-16369,1656,6402
35298,4738,4636,-4540,-15562,959,5803
35308,4678,4922,-4272,-15165,794,5447
35318,5346,5400,-3868,-15360,1134,4833
35328,5886,5920,-3812,-15458,1211,3943
