# label=radial_deviation
# trial=4
# subject=subject01
# captured_at=20260411_212030
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
19330,124,374,-6828,580,41,-209,2018,828,-7596,-104,290,-234
19340,96,422,-6772,478,-66,-211,2008,918,-7616,-103,148,-226
19350,62,482,-6770,497,-180,-229,1962,934,-7718,-58,130,-237
19360,48,500,-6728,600,-246,-245,2006,946,-7684,15,138,-254
19371,50,472,-6772,739,-237,-253,1982,934,-7724,51,207,-247
19381,122,486,-6784,891,-148,-252,1934,958,-7716,64,295,-245
19391,106,454,-6838,1025,19,-287,1950,952,-7704,75,391,-252
19401,106,416,-6868,1110,157,-345,1972,966,-7634,90,462,-286
19411,116,412,-6838,1139,198,-394,2030,926,-7620,96,478,-319
19421,94,390,-6898,1109,135,-405,1984,916,-7636,109,463,-348
19431,108,310,-6850,1005,5,-422,1970,890,-7550,125,419,-344
19441,44,328,-6800,857,-155,-427,1958,822,-7548,141,325,-379
19451,-50,304,-6792,734,-314,-419,1868,846,-7632,143,200,-417
19461,-74,388,-6698,678,-412,-393,1806,818,-7674,135,81,-443
19471,-102,406,-6740,685,-461,-356,1810,916,-7702,139,35,-440
19481,-98,452,-6776,741,-461,-327,1784,890,-7696,141,39,-425
19491,-142,448,-6742,844,-410,-333,1708,884,-7836,151,62,-400
19501,-82,468,-6744,975,-341,-375,1710,914,-7820,157,92,-371
19511,-108,418,-6820,1127,-279,-431,1790,924,-7820,150,89,-358
19521,-86,402,-6848,1287,-279,-458,1822,894,-7838,157,100,-335
19531,-142,328,-6858,1398,-298,-455,1784,880,-7716,173,78,-246
19542,-74,316,-6896,1400,-287,-440,1884,908,-7644,190,80,-235
19552,-24,280,-6864,1320,-247,-388,1836,944,-7620,195,115,-231
19562,-86,284,-6878,1170,-232,-364,1890,914,-7702,202,111,-277
19572,4,316,-6922,1036,-297,-323,1858,994,-7792,232,146,-296
19582,-18,364,-6902,932,-341,-306,1928,918,-7816,233,148,-333
19592,-114,354,-6912,953,-452,-298,1830,956,-7898,215,120,-355
19602,-110,294,-6956,1062,-525,-308,1826,850,-7928,215,129,-341
19612,-108,252,-7028,1177,-501,-352,1812,838,-7920,207,147,-339
19622,-116,202,-7126,1237,-406,-384,1896,878,-7820,138,147,-338
19632,-80,174,-7084,1237,-277,-404,1906,908,-7886,98,181,-347
19642,-122,186,-7104,1192,-191,-434,1906,846,-7782,80,134,-363
19652,-86,192,-7058,1095,-183,-446,1790,836,-7738,79,72,-366
19662,-220,134,-7050,967,-233,-428,1736,862,-7792,75,84,-359
19672,-88,132,-7030,816,-234,-428,1926,872,-7900,98,92,-395
19682,-124,130,-7120,689,-237,-419,1914,770,-8012,47,148,-464
19692,-62,88,-7124,721,-181,-356,1918,788,-7948,-10,315,-406
19702,62,70,-7062,816,0,-367,2004,774,-7718,-62,400,-442
19712,192,56,-7010,852,194,-438,2116,826,-7698,-137,350,-488
19722,280,28,-6968,774,305,-508,2184,862,-7636,-150,314,-527
19732,312,94,-6820,663,289,-530,2122,880,-7666,-143,243,-588
19742,290,152,-6828,614,134,-546,2056,924,-7646,-115,99,-632
19752,240,134,-6882,626,-74,-607,2008,878,-7628,-80,-47,-675
19762,176,140,-6890,657,-238,-653,2024,922,-7648,-53,-163,-697
19772,124,88,-6938,667,-369,-662,1960,818,-7708,-10,-180,-691
19782,32,62,-6942,627,-443,-623,1846,778,-7746,8,-126,-691
19792,-74,20,-7038,558,-424,-590,1796,882,-7794,1,-56,-707
19802,-166,102,-7006,456,-333,-554,1756,940,-7930,-16,17,-699
19812,-222,174,-7134,360,-190,-506,1794,1008,-8092,-25,122,-672
19822,-178,320,-7158,349,-23,-441,1738,1128,-8250,-24,253,-627
19832,-242,454,-7248,484,106,-402,1700,1196,-8454,-8,373,-579
19842,-412,496,-7600,728,176,-384,1672,1346,-8744,-35,541,-493
19852,-348,546,-7868,1034,234,-454,1716,1364,-8938,-86,716,-403
19862,-332,706,-8334,1530,653,-460,1730,1480,-9128,-138,937,-334
19872,-380,726,-8366,1618,942,-510,1768,1610,-9168,-192,1173,-260
19883,-418,860,-8468,1576,1222,-502,1672,1728,-9304,-212,1422,-175
19893,-702,790,-8800,1536,1558,-488,1588,1858,-9584,-119,1736,-122
19903,-800,648,-9330,1716,2097,-492,1566,1750,-10352,20,2112,-72
19913,-898,480,-9888,2296,2945,-515,1550,1586,-11140,57,2667,0
19923,-892,276,-10390,3108,4134,-609,1526,1390,-11564,-95,3473,139
19933,-646,-60,-10570,3931,5416,-870,1576,1322,-11618,-396,4468,353
19943,-286,-308,-10630,4472,6504,-1202,1690,1180,-11546,-797,5427,585
19953,242,-516,-10640,4626,7131,-1579,2230,1172,-11004,-1887,6344,820
19963,370,-842,-10542,4494,7002,-1984,2040,1072,-10676,-2419,6173,807
19973,322,-916,-10360,4172,6451,-2460,2040,1072,-10676,-2419,6173,807
19983,112,-1240,-10022,3751,5874,-3010,1722,978,-10214,-3401,5045,458
19993,-192,-1404,-9708,3379,5486,-3506,1474,748,-9948,-4188,4579,298
20003,-554,-1796,-9504,3113,5640,-3967,758,512,-9482,-4884,4879,272
20013,-1348,-2126,-8850,2778,6616,-4355,-528,86,-8868,-5421,6348,421
20023,-2006,-2350,-8090,2055,8737,-4977,-1468,-278,-7986,-5959,8725,685
20033,-2190,-2632,-7364,851,12236,-5932,-1622,-330,-6596,-6741,11607,1087
20043,-2520,-2204,-6236,-784,16293,-6867,-2032,-562,-4626,-7294,14942,1449
20054,-2714,-2172,-4840,-3122,19955,-7848,-2118,-854,-2262,-7630,17871,1870
20064,-3152,-2022,-2682,-6656,23003,-8768,-3114,-1380,280,-7479,20593,2384
20074,-4800,-1880,-792,-11746,25420,-9504,-3974,-1256,3018,-6762,22964,3054
20084,-6466,-1944,1756,-17823,27465,-10036,-3346,-668,5104,-5749,24385,3919
20094,-8130,-2104,4626,-23918,29378,-9759,-3338,496,6686,-4721,25535,5847
20104,-8410,-2608,6396,-28299,30403,-8276,-1602,1266,6528,-2567,25984,7794
20114,-5988,-3410,6196,-29950,30463,-5377,2498,132,4806,-842,24660,9743
20124,-2462,-3320,5826,-30241,29076,-1933,6562,-1428,1292,1530,22207,11779
20134,2214,-2648,4880,-29442,25257,2579,13086,-2858,-4264,3476,19415,13308
20144,6610,744,5312,-25335,19316,10232,13482,-2420,-5816,3244,17135,13494
20154,11826,2208,1520,-18368,13307,18588,13918,-784,-6270,982,12890,13347
20164,11520,878,308,-11540,3841,23917,9582,76,-4322,-1970,9477,12577
20174,10776,1386,202,-5068,-8762,24630,6046,732,-1758,-3182,4708,12301
20184,8152,516,228,-441,-18862,21247,4710,448,-890,-1891,-1905,11631
20194,9684,-164,-506,2216,-23411,16886,7518,-22,-1066,-1068,-7006,10188
20204,10094,224,-1628,3241,-21376,14378,10102,-666,-2432,858,-6427,9485
20214,11718,442,-3010,3111,-13427,13720,11036,-628,-3360,1356,-2124,9181
20224,13074,896,-3988,2537,-2854,13140,11658,-608,-4112,608,3150,8494
20234,14748,1372,-4598,1257,6420,12008,12818,-332,-4210,-571,7580,7301
20244,15530,1236,-4474,-474,11698,10078,13436,62,-3348,-651,10507,6041
20254,16264,912,-4012,-1641,12366,7601,13918,32,-2970,-1196,10254,4402
20264,15280,1064,-3474,-1848,8207,5069,13080,88,-2950,-2186,8147,2952
20274,13870,934,-3754,-772,2135,2364,12062,-420,-3400,-2034,4759,1686
20284,12088,618,-3898,1052,-4888,-43,11100,-870,-3318,-1286,722,315
20294,10402,282,-3664,2747,-9150,-1734,10064,-1030,-3350,-1012,-2009,-670
